incident_id,date,quarter,school,city,state,school_level
20201225FLYOP,2020-12-25,Winter                                            ,Youth Under Construction Youth Center                                                                                                                                                                   ,Pompano Beach                                                                                       ,FL,High                                              
20201216ILDUC,2020-12-16,Winter                                            ,Dubois Elementary School                                                                                                                                                                                ,Chicago                                                                                             ,IL,Elementary                                        
20201211VATAY,2020-12-11,Winter                                            ,Tabb Middle School                                                                                                                                                                                      ,Yorktown                                                                                            ,VA,Middle                                            
20201207ILEAC,2020-12-06,Winter                                            ,East Chicago Academy of Visual and Performing Arts                                                                                                                                                      ,Chicago                                                                                             ,IL,High                                              
20201124NCHEH,2020-11-25,Fall                                              ,Hendersonville Middle School                                                                                                                                                                            ,Hendersonville                                                                                      ,NC,Middle                                            
20201125KSABG,2020-11-25,Fall                                              ,Abe Hubert Elementary School                                                                                                                                                                            ,Garden City                                                                                         ,KS,Elementary                                        
20201117TXWEW,2020-11-17,Fall                                              ,Weatherford High School                                                                                                                                                                                 ,Weatherford                                                                                         ,TX,High                                              
20201117MTGRG,2020-11-17,                                                  ,Great Falls High School                                                                                                                                                                                 ,Great Falls                                                                                         ,MT,High                                              
20201116TNWIM,2020-11-16,Fall                                              ,Winridge Elementary School                                                                                                                                                                              ,Memphis                                                                                             ,TN,Elementary                                        
20201113NCLIL,2020-11-13,Fall                                              ,Lincoln Elementary School                                                                                                                                                                               ,Leland                                                                                              ,NC,Elementary                                        
20201112PANAH,2020-11-12,Fall                                              ,Nativity School of Harrisburg                                                                                                                                                                           ,Harrisburg                                                                                          ,PA,Middle                                            
20201112CACEU,2020-11-12,Fall                                              ,Cesar Chavez Middle School                                                                                                                                                                              ,Union City                                                                                          ,CA,Middle                                            
20201109CABAL,2020-11-09,Fall                                              ,Baldwin Elementary School                                                                                                                                                                               ,La Puente                                                                                           ,CA,Elementary                                        
20201109TXCOH,2020-11-09,Fall                                              ,Collins Elementary School                                                                                                                                                                               ,Houston                                                                                             ,TX,Elementary                                        
20201108INTET,2020-11-08,Fall                                              ,Terre Haute South Vigo High School                                                                                                                                                                      ,Terre Haute                                                                                         ,IN,High                                              
20201106AZKHT,2020-11-06,Fall                                              ,Khalsa Montessori Charter                                                                                                                                                                               ,Tuscon                                                                                              ,AZ,Elementary                                        
20201102COERE,2020-11-02,Fall                                              ,Erie High School                                                                                                                                                                                        ,Erie                                                                                                ,CO,High                                              
20201029FLLAM,2020-10-29,Fall                                              ,Lawton Chiles Middle School                                                                                                                                                                             ,Miramar                                                                                             ,FL,Middle                                            
20201028NYROR,2020-10-28,Fall                                              ,Rochester Prep Charter School                                                                                                                                                                           ,Rochester                                                                                           ,NY,K-12                                              
20201026GARIR,2020-10-26,Fall                                              ,Riverdale High School                                                                                                                                                                                   ,Riverdale                                                                                           ,GA,High                                              
20201024CTSTS,2020-10-24,Fall                                              ,Stillwater Elementary School                                                                                                                                                                            ,Stamford                                                                                            ,CT,Elementary                                        
20201020ARJAP,2020-10-20,Fall                                              ,Jack Robey Junior High School                                                                                                                                                                           ,Pine Bluff                                                                                          ,AR,Junior High                                       
20201018KYSEL,2020-10-18,Fall                                              ,Seneca High School                                                                                                                                                                                      ,Louisville                                                                                          ,KY,High                                              
20201014PABRB,2020-10-14,Fall                                              ,Bradford Area School District                                                                                                                                                                           ,Bradford                                                                                            ,PA,                                                  
20201014WAWAS,2020-10-14,Fall                                              ,Washington Elementary School                                                                                                                                                                            ,Sunnyside                                                                                           ,WA,Elementary                                        
20201013RIRHP,2020-10-13,Fall                                              ,Rhode Island School for the Deaf                                                                                                                                                                        ,Providence                                                                                          ,RI,K-12                                              
20201012TXNOD,2020-10-12,Fall                                              ,North Dallas High School                                                                                                                                                                                ,Dallas                                                                                              ,TX,High                                              
20201012MNSHS,2020-10-12,Fall                                              ,Shakopee High School                                                                                                                                                                                    ,Shakopee                                                                                            ,MN,High                                              
20201009FLJEJ,2020-10-09,Fall                                              ,Jean Ribault High School                                                                                                                                                                                ,Jacksonville                                                                                        ,FL,High                                              
20201005OKSOM,2020-10-05,Fall                                              ,Southridge Junior High                                                                                                                                                                                  ,Moore                                                                                               ,OK,High                                              
20201005ARKIH,2020-10-05,Fall                                              ,KIPP Delta Elementary School                                                                                                                                                                            ,West Helena                                                                                         ,AR,Elementary                                        
20201004NEADL,2020-10-04,Fall                                              ,Adam’s Elementary School                                                                                                                                                                                ,Lincoln                                                                                             ,NE,Elementary                                        
20201002PAMAE,2020-10-02,Fall                                              ,Marple-Newtown School Bus                                                                                                                                                                               ,Exton                                                                                               ,PA,                                                  
20200930CADYL,2020-09-30,Fall                                              ,Dymally High School                                                                                                                                                                                     ,Los Angeles                                                                                         ,CA,High                                              
20200928CTEAN,2020-09-28,Fall                                              ,East Rock Community Magnet School                                                                                                                                                                       ,New Haven                                                                                           ,CT,K-8                                               
20200925ILROR,2020-09-25,Fall                                              ,Rock Island Academy                                                                                                                                                                                     ,Rock Island                                                                                         ,IL,Elementary                                        
20200925NJHAH,2020-09-25,Fall                                              ,Haledon Public School                                                                                                                                                                                   ,Haledon                                                                                             ,NJ,K-8                                               
20200924ILMCS,2020-09-24,Fall                                              ,McClernand Elementary School                                                                                                                                                                            ,Springfield                                                                                         ,IL,Elementary                                        
20200924CAWAC,2020-09-24,Fall                                              ,Walt Hanline Middle School                                                                                                                                                                              ,Ceres                                                                                               ,CA,Middle                                            
20200923FLHIJ,2020-09-23,Fall                                              ,Highlands Middle School                                                                                                                                                                                 ,Jacksonville                                                                                        ,FL,Middle                                            
20200923PAWIW,2020-09-23,Fall                                              ,William Tennent High School                                                                                                                                                                             ,Warminster                                                                                          ,PA,High                                              
20200921CAPLP,2020-09-21,Fall                                              ,Pleasant Hill Elementary School                                                                                                                                                                         ,Pleasant Hill                                                                                       ,CA,Elementary                                        
20200920UTLIS,2020-09-20,Fall                                              ,Liberty Elementary School                                                                                                                                                                               ,Salt Lake City                                                                                      ,UT,Elementary                                        
20200919CAKRS,2020-09-19,                                                  ,Krouzian Zekarian Vasbouragan Armenian School                                                                                                                                                           ,San Francisco                                                                                       ,CA,K-8                                               
20200918KYWIL,2020-09-18,Fall                                              ,Winburn Middle School                                                                                                                                                                                   ,Lexington                                                                                           ,KY,Middle                                            
20200917OHELA,2020-09-17,Fall                                              ,Ellet High School                                                                                                                                                                                       ,Akron                                                                                               ,OH,High                                              
20200917ORDRP,2020-09-17,Fall                                              ,Dr. Martin Luther King Jr. Elementary School                                                                                                                                                            ,Portland                                                                                            ,OR,Elementary                                        
20200916CASOS,2020-09-16,Fall                                              ,Sonora High School                                                                                                                                                                                      ,Sonora                                                                                              ,CA,High                                              
20200916WAARG,2020-09-15,Fall                                              ,Artondale Elementary School                                                                                                                                                                             ,Gig Harbor                                                                                          ,WA,Elementary                                        
20200915UTVIB,2020-09-15,Fall                                              ,Viewmont High School                                                                                                                                                                                    ,Bountiful                                                                                           ,UT,High                                              
20200915SCYOR,2020-09-15,Fall                                              ,York County School Bus                                                                                                                                                                                  ,Rock Hill                                                                                           ,SC,                                                  
20200910ILPEP,2020-09-14,Fall                                              ,Peoria Public Schools Bus                                                                                                                                                                               ,Peoria                                                                                              ,IL,                                                  
20200910OHSAC,2020-09-10,Fall                                              ,Saint Francis DeSales High School                                                                                                                                                                       ,Columbus                                                                                            ,OH,High                                              
20200909TXSOH,2020-09-09,Fall                                              ,Southmayd Elementary School                                                                                                                                                                             ,Houston                                                                                             ,TX,Elementary                                        
20200909PAWEW,2020-09-09,Fall                                              ,West Bradford Elementary School                                                                                                                                                                         ,West Bradford Township                                                                              ,PA,Elementary                                        
20200904FLLOJ,2020-09-03,Fall                                              ,Lone Star Elementary School                                                                                                                                                                             ,Jacksonville                                                                                        ,FL,Elementary                                        
20200903GADOA,2020-09-03,Fall                                              ,Dougherty Comprehensive High School                                                                                                                                                                     ,Albany                                                                                              ,GA,High                                              
20200830TXLOD,2020-08-30,Summer                                            ,L.O. Donald Leadership Academy                                                                                                                                                                          ,Dallas                                                                                              ,TX,Elementary                                        
20200825MOWEC,2020-08-25,Summer                                            ,West Middle School                                                                                                                                                                                      ,Columbia                                                                                            ,MO,Middle                                            
20200817MIABG,2020-08-17,Summer                                            ,Aberdeen K-8 School                                                                                                                                                                                     ,Grand Rapids                                                                                        ,MI,K-8                                               
20200804PAKEP,2020-08-04,Summer                                            ,Kelly Elementary School                                                                                                                                                                                 ,Pittsburg                                                                                           ,PA,Elementary                                        
20200729ILCOC,2020-07-29,                                                  ,Collinsville High School                                                                                                                                                                                ,Collinsville                                                                                        ,IL,High                                              
20200727AZCAO,2020-07-27,Summer                                            ,Canyon del Oro High School                                                                                                                                                                              ,Oro Valley                                                                                          ,AZ,High                                              
20200721SCBRO,2020-07-21,Summer                                            ,Brookdale Elementary School                                                                                                                                                                             ,Orangeburg                                                                                          ,SC,Elementary                                        
20200714MIWID,2020-07-14,Summer                                            ,Willow Woods Elementary School                                                                                                                                                                          ,Detroit                                                                                             ,MI,Elementary                                        
20200704INLAM,2020-07-04,Summer                                            ,Lake Hills Elementary School                                                                                                                                                                            ,Michigan City                                                                                       ,IN,Elementary                                        
20200701ILFRP,2020-07-01,Summer                                            ,Frost Elementary School                                                                                                                                                                                 ,Prospect Heights                                                                                    ,IL,Elementary                                        
20200630OHLAW,2020-06-30,Summer                                            ,Lakota Career Readiness Academy                                                                                                                                                                         ,West Chester Township                                                                               ,OH,K-12                                              
20200627VAHAS,2020-06-27,Summer                                            ,Halifax County Middle School                                                                                                                                                                            ,South Boston                                                                                        ,VA,Middle                                            
20200621INCOC,2020-06-21,Summer                                            ,Columbus East High School                                                                                                                                                                               ,Columbus                                                                                            ,IN,High                                              
20200618INJOI,2020-06-18,Summer                                            ,Joyce Kilmer School 69                                                                                                                                                                                  ,Indianapolis                                                                                        ,IN,Elementary                                        
20200616FLTOM,2020-06-16,Summer                                            ,Touissant Louverture Elementary School                                                                                                                                                                  ,Miami                                                                                               ,FL,Elementary                                        
20200603IAGAD,2020-06-03,Summer                                            ,Garfield Elementary School                                                                                                                                                                              ,Davenport                                                                                           ,IA,Elementary                                        
20200527OHLUC,2020-05-27,Spring                                            ,Luis Munoz Marin Middle School                                                                                                                                                                          ,Cleveland                                                                                           ,OH,Middle                                            
20200525ALORM,2020-05-25,Spring                                            ,O Rourke Elementary School                                                                                                                                                                              ,Mobile                                                                                              ,AL,Elementary                                        
20200522OHMIC,2020-05-22,Spring                                            ,Miles Elementary School                                                                                                                                                                                 ,Cleveland                                                                                           ,OH,Elementary                                        
20200519VAWEM,2020-05-19,Spring                                            ,West Gate Elementary School                                                                                                                                                                             ,Manassas                                                                                            ,VA,Elementary                                        
20200515NCSTC,2020-05-15,Spring                                            ,Stuart W Cramer High School                                                                                                                                                                             ,Cramerton                                                                                           ,NC,High                                              
20200505CAGOV,2020-05-05,Spring                                            ,Golden West High School                                                                                                                                                                                 ,Visalia                                                                                             ,CA,High                                              
20200419NCABR,2020-04-19,Spring                                            ,Abbotts Creek Elementary School                                                                                                                                                                         ,Raleigh                                                                                             ,NC,Elementary                                        
20200413NEMOO,2020-04-13,Spring                                            ,Morton Middle School                                                                                                                                                                                    ,Omaha                                                                                               ,NE,Middle                                            
20200330GANAS,2020-03-30,Spring                                            ,Narvie J. Harris Elementary School                                                                                                                                                                      ,Stonecrest                                                                                          ,GA,Elementary                                        
20200324LAROM,2020-03-24,Spring                                            ,Roy Shelling Elementary School                                                                                                                                                                          ,Monroe                                                                                              ,LA,Elementary                                        
20200318LABOS,2020-03-18,Spring                                            ,Booker T. Washington High School                                                                                                                                                                        ,Shreveport                                                                                          ,LA,High                                              
20200315TXATH,2020-03-15,Spring                                            ,Atascocita High School                                                                                                                                                                                  ,Humble                                                                                              ,TX,High                                              
20200313TNPIR,2020-03-13,Spring                                            ,Pine View Elementary                                                                                                                                                                                    ,Rockwood                                                                                            ,TN,Elementary                                        
20200310PASHN,2020-03-10,Spring                                            ,Shenango Area Schools (bus)                                                                                                                                                                             ,New Castle                                                                                          ,PA,Elementary                                        
20200305FLSAW,2020-03-05,Spring                                            ,Sagemont School                                                                                                                                                                                         ,Weston                                                                                              ,FL,K-12                                              
20200302TXNOF,2020-03-02,Spring                                            ,North Forney High School                                                                                                                                                                                ,Forney                                                                                              ,TX,High                                              
20200221NMCEA,2020-02-21,Winter                                            ,Cesar Chavez Community School                                                                                                                                                                           ,Albuquerque                                                                                         ,NM,Other                                             
20200215DCDUW,2020-02-15,Winter                                            ,Dunbar High School                                                                                                                                                                                      ,Washington                                                                                          ,DC,High                                              
20200212MOJOF,2020-02-12,Winter                                            ,Johnson-Wabash Elementary School                                                                                                                                                                        ,Ferguson                                                                                            ,MO,Elementary                                        
20200205NHSEC,2020-02-05,Winter                                            ,Second Start Alternative High School                                                                                                                                                                    ,Concord                                                                                             ,NH,High                                              
20200204LABEA,2020-02-04,Winter                                            ,Beau Chene High School                                                                                                                                                                                  ,Arnaudville                                                                                         ,LA,High                                              
20200203FLGEJ,2020-02-03,Winter                                            ,George Washington Carver Elementary School                                                                                                                                                              ,Jacksonville                                                                                        ,FL,Elementary                                        
20200201TXHIH,2020-02-01,Winter                                            ,Hicks Elementary School                                                                                                                                                                                 ,Houston                                                                                             ,TX,Elementary                                        
20200131CADEA,2020-01-31,Winter                                            ,Deer Valley High School                                                                                                                                                                                 ,Antioch                                                                                             ,CA,High                                              
20200128TXLUL,2020-01-28,Winter                                            ,Lufkin Middle School                                                                                                                                                                                    ,Lufkin                                                                                              ,TX,High                                              
20200128TNWHM,2020-01-28,Winter                                            ,White Station High School                                                                                                                                                                               ,Memphis                                                                                             ,TN,High                                              
20200128NYMAQ,2020-01-28,Winter                                            ,Martin Van Buren High School                                                                                                                                                                            ,Queens                                                                                              ,NY,High                                              
20200127WAROY,2020-01-27,Winter                                            ,Robertson Elementary School                                                                                                                                                                             ,Yakima                                                                                              ,WA,Elementary                                        
20200123CAOXO,2020-01-23,Winter                                            ,Oxnard's Christa McAuliffe Elementary School                                                                                                                                                            ,Oxnard                                                                                              ,CA,Elementary                                        
20200121NEPAL,2020-01-21,Winter                                            ,Park Middle School                                                                                                                                                                                      ,Lincoln                                                                                             ,NE,Middle                                            
20200121ILLIC,2020-01-21,Winter                                            ,Lindblom Math & Science Academy High School                                                                                                                                                             ,Chicago                                                                                             ,IL,High                                              
