weaponid,incidentid,weaponcaliber,weapondetails,weapontype
376,19890126DCWOW                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
377,19890210UTTHK                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
378,19890303INWIG                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
379,19890426TXAMD                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
380,19890911AZDYE                                                                                                                     ,.25 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
381,19890918KYJAM                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Shotgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
382,19891005CALOA                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"Shotgun, pistol",Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
383,19891005CALOA                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"Shotgun, pistol",Shotgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
384,19891031TXOLD                                                                                                                     ,BB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,,Other                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
385,19891113NYALN                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
386,19891115TXWOA                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
387,19891122CACHO                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
388,19891204LACAS                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
389,19891205PASEM                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
390,19891205TXWWD                                                                                                                     ,.25 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
391,19891212SCCHC                                                                                                                     ,.45 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
392,19900116RICEP                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
393,19900220OHTAC                                                                                                                     ,9mm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
394,19900327NYNEB                                                                                                                     ,.38 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
395,19900403TXSKD                                                                                                                     ,.25 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
396,19900504CAMOE                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
397,19900520TNHIC                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
398,19900531TXSUF                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
399,19900824NCMYC                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
400,19900827NVELL                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
401,19900827TXWHD                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
402,19900911TXSAS                                                                                                                     ,.45 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
403,19900922ALLEB                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
404,19901002TXWHD                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
405,19901029INCHC                                                                                                                     ,.44 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
406,19901030TXNAG                                                                                                                     ,.25 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
407,19901213LASAS                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
408,19910108TXRIR                                                                                                                     ,.357 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
409,19910117TXHOD                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
410,19910219LABON                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
411,19910313ALSES                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
412,19910314SCWOP                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
413,19910325NCGAC                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
414,19910411SCNOR                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
415,19910423CARAC                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
